source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,gilbert,10,,masked_input,condition,0.29123321510215083,,0.8897643026486184,0.09967561775464387,2.915380308946015,3.156316965304404,19.268147920226816,0.8884691245710428,0.38360971202216226,
evaluate,gilbert,10,,reconstructed,condition,0.27832826216834017,0.5584752458560309,0.9230526650247319,0.027592974247712124,3.4503524410284947,3.1213887719437317,26.5132917878972,0.9451267723079145,0.37190553044055397,0.666365773471461
evaluate,gilbert,20,,masked_input,condition,0.39670130466104514,,0.7756467954549537,0.20568453593370317,1.9372714427053304,2.8472055990066036,16.528939114169248,0.7736583044196257,0.4865833759447393,
evaluate,gilbert,20,,reconstructed,condition,0.337274337542527,0.5840084572370973,0.841798551080998,0.053203070132210296,2.592117874453847,2.8181494444114157,22.99236255704157,0.8873998709960078,0.4519870956621169,0.6889093981122097
evaluate,gilbert,30,,masked_input,condition,0.4834465971338055,,0.6720864696889042,0.3001665756325455,1.4616278726814147,2.5479063095112533,14.526627707081882,0.6711733135996595,0.6057431036332819,
evaluate,gilbert,30,,reconstructed,condition,0.40207699182452195,0.6070739079002695,0.7686085757494127,0.07517429309190166,2.054647188365598,2.5912834450001667,20.857878403914572,0.8352437236282824,0.533041771930978,0.7093531010347389
evaluate,gilbert,40,,masked_input,condition,0.5783392896458728,,0.5629734407941944,0.40206832276320437,1.2128991424837523,2.2349306616140723,12.938892437677548,0.5630347869861664,0.7107137726193925,
evaluate,gilbert,40,,reconstructed,condition,0.47323604254042884,0.6343873214407646,0.691089840066187,0.09871157245489012,1.6688793528040013,2.391726357634916,19.251926902317443,0.7790120890377117,0.619217141057257,0.7334941943181418
evaluate,gilbert,50,,masked_input,condition,0.7109950114629962,,0.4571460981518325,0.5029208660894428,1.1113102150710767,1.9397060928499692,11.774339331336547,0.46127891217957484,0.8502783806892901,
evaluate,gilbert,50,,reconstructed,condition,0.5300703659230078,0.6605644422779536,0.6143852526119805,0.12299156223940487,1.4341309031229952,2.2351998655263703,18.066850747387345,0.7248746386813388,0.6963040803694954,0.7551927213026074
evaluate,gilbert,,,masked_input,mean_over_loss_rates,0.4921430836011741,,0.6715234213477006,0.30210318363470795,1.7276977963775177,2.5452131256572605,15.007389302098408,0.6715228883512138,0.6073856689817732,
evaluate,gilbert,,,reconstructed,mean_over_loss_rates,0.4041971999997651,0.6089018749424232,0.7677869769066621,0.07553469443322382,2.240025551954987,2.6315495769033204,21.536462079711626,0.8343314189302511,0.5344911238920803,0.7106630376478318
