source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,single_gap,,20,masked_input,condition,0.2183083477550428,,0.993602979586681,0.006650757689176952,4.096356559236363,3.3608733222507348,30.860424931386163,0.9936476519460468,0.2955278313635401,
evaluate,single_gap,,20,reconstructed,condition,0.2171151845838202,0.5338798572299116,0.9954641879021278,0.00524010371535955,4.207951094106758,3.390872217252672,31.25397491069274,0.9967167055395325,0.29239241247733205,0.6449053023137119
evaluate,single_gap,,40,masked_input,condition,0.22302115290026617,,0.9862604385823706,0.013206109610910587,3.5142539370634953,3.248956062743305,27.824357829182045,0.9845789709121185,0.30110969464436577,
evaluate,single_gap,,40,reconstructed,condition,0.22365213674390155,0.535317601808632,0.9928746770396177,0.005781528429215428,4.131920398403942,3.3746943556332814,30.834630805747988,0.9950847049625399,0.2983912445246543,0.6462717227601972
evaluate,single_gap,,80,masked_input,condition,0.23194456882986933,,0.9694586523056098,0.02632533879611936,3.2336731342608886,3.2070327120915327,24.743298562164213,0.9668238431609051,0.3125521040370192,
evaluate,single_gap,,80,reconstructed,condition,0.22477053552883647,0.5368671194702339,0.9848267766085211,0.0075546887803890975,3.9854468556449127,3.3354342677476185,29.72691474972389,0.989641561997907,0.30423945931098534,0.6480552342289075
evaluate,single_gap,,160,masked_input,condition,0.2548937883594623,,0.9356024011794404,0.05274603203773068,2.8906096446935376,3.1417861314757074,21.623067895015836,0.9346622654329261,0.34296711892619147,
evaluate,single_gap,,160,reconstructed,condition,0.24267949701613456,0.5431655121014463,0.9632253077222902,0.01324951917203064,3.6791838758964035,3.2278825761753063,27.427952192108005,0.9747564596243604,0.32988421370541726,0.6545271257303531
evaluate,single_gap,,320,masked_input,condition,0.30683887929296233,,0.8688906348182561,0.10516390324346116,2.3571690571409603,3.1853588449484547,18.52891986174102,0.868530364678078,0.40666093830350514,
evaluate,single_gap,,320,reconstructed,condition,0.29483009379153235,0.5598999974134833,0.9107090400192432,0.028712866716384733,3.1599690105793923,3.010803782003127,24.13545689003026,0.9370746185444806,0.40375244140450506,0.6688263739788926
evaluate,single_gap,,500,masked_input,condition,0.36366812514220065,,0.7984084917137084,0.16456024834935679,1.9814797017049752,3.254316657981973,16.53133839679863,0.7970257617441869,0.460583368037715,
evaluate,single_gap,,500,reconstructed,condition,0.34302904340915547,0.5803477255211967,0.8499566859923188,0.04751669823823591,2.6894389496717928,2.8235701114433813,21.924076473721016,0.8932081861434841,0.4492015453277532,0.686202479536976
evaluate,single_gap,,750,masked_input,condition,0.4323500720193543,,0.7030552759548221,0.24493134537553676,1.6255025925911792,3.311829291884564,14.762460741250374,0.7007318577784928,0.5341531950129849,
evaluate,single_gap,,750,reconstructed,condition,0.4142569554502064,0.609401277268387,0.765241754432026,0.07495472506591884,2.19051657863459,2.641993990918959,19.92133917488033,0.8320554923341116,0.523103412293417,0.7103768175289261
evaluate,single_gap,,1000,masked_input,condition,0.5019117297794159,,0.6076591509586803,0.3270874123291038,1.413309532325539,3.348989053206476,13.485382600912937,0.6064453006534911,0.6023668769652667,
evaluate,single_gap,,1000,reconstructed,condition,0.47947340513393033,0.6390750250696998,0.6803420578383794,0.10272619553315815,1.8463549702198874,2.5075952954421847,18.537774474138,0.7699818615785928,0.590696258498765,0.7351082966800488
evaluate,single_gap,,1250,masked_input,condition,0.5816616116992337,,0.5126169853242317,0.40869098719567837,1.2808955976850507,3.391324176927515,12.507753240152477,0.5103808939717946,0.68197803769018,
evaluate,single_gap,,1250,reconstructed,condition,0.5527157009064202,0.6706582743170664,0.5948873913019541,0.13108173335009024,1.596119098128933,2.3931575860256444,17.473199733110846,0.7079066417320894,0.6684917979659244,0.7610301726688709
evaluate,single_gap,,1500,masked_input,condition,0.6645921879043436,,0.4181958516281621,0.489979871960685,1.1990248709571156,3.4202114290613452,11.713338823437716,0.41701943374349987,0.7631159193338627,
evaluate,single_gap,,1500,reconstructed,condition,0.6145810226725683,0.7023106217963532,0.5100429295694144,0.15931702333917808,1.4208963440502,2.2968911528392604,16.613461442359252,0.646329717438663,0.7309716463306621,0.7873264649219873
evaluate,single_gap,,,masked_input,mean_over_gap_durations,0.3779190463682151,,0.7793750862051962,0.18393420065877594,2.3592274627659107,3.287067768257161,19.25803428820414,0.777984634402154,0.4701015084314631,
evaluate,single_gap,,,reconstructed,mean_over_gap_durations,0.3607103575236506,0.5910923011996411,0.8247570808425893,0.057613508233996066,2.890779717533681,2.9002895335481433,23.784878084651233,0.8742755949895761,0.45911244318394157,0.6942629990348872
