dataset,batch_idx,sample_in_batch,video_path,gap_ms,offset_ms,shift_frames,gap_start_mel,gap_end_mel,gap_start_sec,gap_end_sec,pesq,stoi
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,-320,-8,278,294,2.78,2.94,4.419315814971924,0.947522522118954
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,-160,-4,278,294,2.78,2.94,4.083657264709473,0.924490590992852
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,-80,-2,278,294,2.78,2.94,4.162633895874023,0.9271320849544865
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,-40,-1,278,294,2.78,2.94,4.413804531097412,0.9467092173179789
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,0,0,278,294,2.78,2.94,4.356573581695557,0.9458093910768126
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,40,1,278,294,2.78,2.94,4.4135918617248535,0.9553536445539964
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,80,2,278,294,2.78,2.94,4.394199371337891,0.9438572008103565
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,160,4,278,294,2.78,2.94,4.429478168487549,0.9475128659480528
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,320,8,278,294,2.78,2.94,4.043927192687988,0.9243286716492463
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,-320,-8,213,229,2.13,2.29,4.258350372314453,0.9350962844230829
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,-160,-4,213,229,2.13,2.29,4.501208782196045,0.9776116861784315
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,-80,-2,213,229,2.13,2.29,4.219102382659912,0.9266191171482119
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,-40,-1,213,229,2.13,2.29,4.229837894439697,0.9218689942206404
