dataset,gap_ms,offset_ms,shift_frames,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,delta_pesq_av_minus_audio_mean,delta_pesq_av_minus_audio_std,delta_pesq_av_minus_audio_ci95,delta_num_pesq,delta_stoi_av_minus_audio_mean,delta_stoi_av_minus_audio_std,delta_stoi_av_minus_audio_ci95,delta_num_stoi
voxceleb2,160,-320,-8,3.7056025814573452,0.3470031259061249,0.007725282884313054,0.9758140828603583,0.01485160522576532,0.00033063924526783054,7754,7754,-0.015646813900962085,0.19604423096223356,0.004364505760765326,7754,-0.0007609520146506387,0.006086285424476609,0.00013549813563199154,7754
voxceleb2,160,-160,-4,3.7425524000350365,0.3322850339992606,0.0073976160277078335,0.9778328842858184,0.013304904556164928,0.0002962052609087042,7754,7754,0.02130300467672931,0.21016284988552297,0.00467882663275578,7754,0.0012578494108094257,0.006936799948470592,0.00015443302354665515,7754
voxceleb2,160,-80,-2,3.7501565050396195,0.3319489973715519,0.00739013489046516,0.9783212018271866,0.012993637267527785,0.00028927556005636784,7754,7754,0.028907109681312222,0.21239438586964435,0.004728507011567483,7754,0.0017461669521775852,0.007206807188635962,0.00016044415761250338,7754
voxceleb2,160,-40,-1,3.7536216536870715,0.3313299029614886,0.0073763520767301345,0.9784775232956439,0.012888300598608411,0.0002869304642784309,7754,7754,0.032372258328764225,0.21611406632697908,0.004811317746188748,7754,0.001902488420634886,0.0073066489020937155,0.00016266691995247247,7754
voxceleb2,160,0,0,3.757554491478849,0.3267710311632516,0.007274858540662607,0.9785295589144172,0.012872103984955082,0.00028656988129545873,7754,7754,0.036305096120541634,0.2178761720677528,0.004850547264032435,7754,0.001954524039408104,0.007344092025403399,0.000163500511058847,7754
voxceleb2,160,40,1,3.7555850113763434,0.32858784624020654,0.00731530604493598,0.9785069729033805,0.012884903086442013,0.0002868548259321775,7754,7754,0.03433561601803602,0.21160293966551316,0.0047108871535369145,7754,0.0019319380283715046,0.007288825108969544,0.00016227011129665375,7754
voxceleb2,160,80,2,3.7501871250233516,0.33379145064703536,0.0074311531744275065,0.9783284496878396,0.01295278170152009,0.00028836599820736725,7754,7754,0.028937729665044352,0.21289970865386726,0.00473975694323832,7754,0.001753414812830647,0.007250725073476109,0.00016142189544464793,7754
voxceleb2,160,160,4,3.735427301339584,0.3366597417953209,0.007495009545914693,0.977567576692772,0.01345908069008592,0.000299637662981277,7754,7754,0.014177905981276863,0.2117764026963397,0.004714748937143637,7754,0.0009925418177630031,0.00672281449800353,0.0001496690948827029,7754
voxceleb2,160,320,8,3.6994292728520253,0.3503759566474739,0.007800371751393971,0.9752871811236842,0.015407818512824734,0.0003430221452066341,7754,7754,-0.021820122506282118,0.19671695066963055,0.004379482427122217,7754,-0.0012878537513247752,0.006161675915102257,0.00013717654375972654,7754
voxceleb2,500,-320,-8,2.6629210387673425,0.4108146707465175,0.009145910533962588,0.8860746101404664,0.0346111179737381,0.0007705425609387552,7754,7754,0.0015632659465897043,0.20434433965609844,0.004549289939476152,7754,0.0018777934348103214,0.021792067186110556,0.00048515379568137907,7754
