method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__jitter8(grid),concat,,single_gap,,160,masked_input,0.3331413572106068,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5457619047619048
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__jitter8(grid),concat,,single_gap,,160,fused,0.308932975400425,0.9573228125364723,0.007558359727263451,3.7856915278434755,3.9604222564061478,33.51454098269759,0.966555120777852,0.5227142857142858
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__jitter8(grid),concat,,single_gap,,500,masked_input,0.42523404397232867,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6320238095238095
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__jitter8(grid),concat,,single_gap,,500,fused,0.42202877399746175,0.8491339264397857,0.04343422070145607,2.8249101498126983,3.4738701155344645,25.492563977919225,0.9023236377095029,0.6309999999999999
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__jitter8(grid),concat,,single_gap,,1000,masked_input,0.5867190995285766,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7444285714285713
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__jitter8(grid),concat,,single_gap,,1000,fused,0.654870509523332,0.6658452026233332,0.11687815666198731,1.9265458664894104,2.8209752560615544,20.47738271377671,0.7928137401703411,0.8533809523809525
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__jitter8(grid),temporal_self_cross_attention,,single_gap,,160,masked_input,0.3331413572106068,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5457619047619048
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__jitter8(grid),temporal_self_cross_attention,,single_gap,,160,fused,0.31147323793593956,0.9570936024065886,0.00786480527371168,3.772126865386963,3.9643170667012537,33.41826969843478,0.9659817318286312,0.5260952380952381
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__jitter8(grid),temporal_self_cross_attention,,single_gap,,500,masked_input,0.42523404397232867,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6320238095238095
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__jitter8(grid),temporal_self_cross_attention,,single_gap,,500,fused,0.36563074851086924,0.851790636356238,0.044012738466262816,2.8657469906806945,3.519576865037282,25.490088191645075,0.9005404881644832,0.5820119047619048
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__jitter8(grid),temporal_self_cross_attention,,single_gap,,1000,masked_input,0.5867190995285766,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7444285714285713
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__jitter8(grid),temporal_self_cross_attention,,single_gap,,1000,fused,0.5256960439992989,0.6681508182743927,0.12395165413618088,1.9538938596248627,2.863882860771815,20.31554114485887,0.7825390597739119,0.7756666666666666
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__jitter8(grid),global_local_affinity,,single_gap,,160,masked_input,0.3331413572106068,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5457619047619048
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__jitter8(grid),global_local_affinity,,single_gap,,160,fused,0.3123084008147343,0.9522192857605912,0.009134441204369069,3.7101976494789124,3.923984444300333,32.85065104046205,0.9633871943027803,0.5287619047619048
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__jitter8(grid),global_local_affinity,,single_gap,,500,masked_input,0.42523404397232867,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6320238095238095
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__jitter8(grid),global_local_affinity,,single_gap,,500,fused,0.3885605010374227,0.841867186152128,0.04746372297406196,2.7926490619182585,3.468415456533432,25.202774986464778,0.8974839429479746,0.6234880952380952
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__jitter8(grid),global_local_affinity,,single_gap,,1000,masked_input,0.5867190995285766,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7444285714285713
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__jitter8(grid),global_local_affinity,,single_gap,,1000,fused,0.47744396623195745,0.66561021776315,0.11762461155652999,1.930745087623596,2.8424281506220495,20.468487533961802,0.7944294135535918,0.6895238095238095
