method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__no_jitter(grid),concat,,single_gap,,160,masked_input,0.3331413572106068,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5457619047619048
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__no_jitter(grid),concat,,single_gap,,160,fused,0.3040685028415042,0.9573684871459788,0.0074579367227852345,3.7952616143226625,3.974932393614451,33.556339436738234,0.9663099573706148,0.5156190476190476
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__no_jitter(grid),concat,,single_gap,,500,masked_input,0.42523404397232867,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6320238095238095
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__no_jitter(grid),concat,,single_gap,,500,fused,0.33235522838404363,0.8623528944041912,0.0393577179312706,2.924714081764221,3.675094407399495,26.032157934862195,0.9095710680560729,0.5489166666666666
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__no_jitter(grid),concat,,single_gap,,1000,masked_input,0.5867190995285766,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7444285714285713
concat,av_plc_concat_frozen_enc_fused_l1_ge_train__no_jitter(grid),concat,,single_gap,,1000,fused,0.3431783888242538,0.7183514732293566,0.09612520635128022,2.068398792028427,3.2360245396931964,21.4850447880714,0.8213133366062291,0.5633809523809524
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__no_jitter(grid),temporal_self_cross_attention,,single_gap,,160,masked_input,0.3331413572106068,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5457619047619048
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__no_jitter(grid),temporal_self_cross_attention,,single_gap,,160,fused,0.3074432099823284,0.9566306736943501,0.007740436680614948,3.7844143373966217,3.9733730938275653,33.43850071113915,0.9655953057431654,0.5161904761904762
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__no_jitter(grid),temporal_self_cross_attention,,single_gap,,500,masked_input,0.42523404397232867,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6320238095238095
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__no_jitter(grid),temporal_self_cross_attention,,single_gap,,500,fused,0.33359725065495766,0.8615965139408627,0.039459346383810046,2.9215053153038024,3.6585895007769262,26.00742447644408,0.9092427689449745,0.5459642857142858
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__no_jitter(grid),temporal_self_cross_attention,,single_gap,,1000,masked_input,0.5867190995285766,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7444285714285713
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_frozen_enc_fused_l1_ge_train__no_jitter(grid),temporal_self_cross_attention,,single_gap,,1000,fused,0.3507496521828763,0.7177073830189282,0.09667717486619949,2.0633655998706817,3.196241477282842,21.4534542379302,0.8214714450463444,0.574809523809524
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__no_jitter(grid),global_local_affinity,,single_gap,,160,masked_input,0.3331413572106068,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5457619047619048
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__no_jitter(grid),global_local_affinity,,single_gap,,160,fused,0.30863751861666694,0.9538500165548378,0.008852858059108258,3.736119897842407,3.9662001694043476,33.053343988904146,0.964239133933919,0.5195238095238095
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__no_jitter(grid),global_local_affinity,,single_gap,,500,masked_input,0.42523404397232867,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6320238095238095
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__no_jitter(grid),global_local_affinity,,single_gap,,500,fused,0.33160417578305473,0.8609934373299228,0.041335175037384035,2.8814926378726957,3.6571350992838543,25.97017356266331,0.9101787586557996,0.5467261904761905
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__no_jitter(grid),global_local_affinity,,single_gap,,1000,masked_input,0.5867190995285766,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7444285714285713
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train__no_jitter(grid),global_local_affinity,,single_gap,,1000,fused,0.35290380974120283,0.7179403077836555,0.09411331325769424,2.052156291246414,3.1719652667045595,21.60260562532156,0.8236986625800438,0.5756190476190476
