method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,160,masked_input,0.33910689947832295,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5489047619047619
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,160,fused,0.3106062857228741,0.9572774124223239,0.05020525813102722,3.752954730272293,3.8574020061810814,23.127108941955818,0.9696461737707145,0.5205714285714286
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,500,masked_input,0.4550658912730927,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6547380952380952
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,500,fused,0.33618857926272133,0.8656310737825806,0.07700468957424164,2.86868771481514,3.318117697397868,21.578668648312558,0.9163213958521887,0.5468214285714285
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,1000,masked_input,0.6277246985046743,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7778095238095238
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,1000,fused,0.34591622901115543,0.7273483676868309,0.1241111421585083,2.0301954584121704,2.8807694480578103,19.6852996230513,0.8326987189745436,0.5584285714285714
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,160,masked_input,0.3406927265819761,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5532857142857144
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,160,fused,0.3087117275818092,0.9566957934172993,0.05168976232409477,3.741721826791763,3.853930911286672,22.98094096438703,0.9693330902742143,0.5192380952380952
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,500,masked_input,0.4587087018039468,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6572619047619048
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,500,fused,0.3410260953159766,0.8647629962826927,0.07841719508171081,2.8453220856189727,3.328961242993673,21.471684064708892,0.9155545751632151,0.5533452380952381
