method,variant,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,griffin_lim,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),concat,,single_gap,,160,masked_input,0.3440446598660833,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5526190476190476
concat,griffin_lim,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),concat,,single_gap,,160,fused,0.3165119066420182,0.9558131889264935,0.04977865815162659,3.7525855684280396,4.004481629975636,23.164033392024045,0.9653214580900694,0.5218095238095237
concat,griffin_lim,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),concat,,single_gap,,500,masked_input,0.45257407356181845,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6522619047619048
concat,griffin_lim,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),concat,,single_gap,,500,fused,0.3263459564056749,0.8625389827901784,0.07559534698724747,2.924396394729614,3.7647239334742224,21.664014067068937,0.9104335244123202,0.5349166666666666
concat,griffin_lim,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),concat,,single_gap,,1000,masked_input,0.6258406544010461,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7805714285714287
concat,griffin_lim,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),concat,,single_gap,,1000,fused,0.3480601963074613,0.7210232343425004,0.12144169569015503,2.074808644294739,3.3744764235814415,19.78695391869286,0.8245298400507302,0.5611428571428572
concat,learned_phase,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,160,masked_input,0.34479122865960865,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.553047619047619
concat,learned_phase,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,160,fused,0.3110544871716003,0.9575309207641991,0.055114479213953016,3.749742552757263,3.799782258892059,22.69700864335168,0.9706696173171294,0.5212857142857142
concat,learned_phase,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,500,masked_input,0.46553965345696363,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6662619047619048
concat,learned_phase,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,500,fused,0.34390350829447347,0.8660057925257412,0.07975629746913909,2.8643441557884217,3.2051353747208915,21.349986994358254,0.9179697709592769,0.5544404761904761
concat,learned_phase,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,1000,masked_input,0.6115708147260341,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7704761904761903
concat,learned_phase,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,1000,fused,0.36091187043653716,0.7276207581207482,0.12306349098682404,2.0219192669391632,2.7415994420051573,19.649271595336593,0.8351634172491227,0.5808095238095239
temporal_self_cross_attention,griffin_lim,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,160,masked_input,0.3436679044475887,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5522857142857143
temporal_self_cross_attention,griffin_lim,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,160,fused,0.31200775171481987,0.956056900195111,0.048697363287210464,3.763899087190628,3.997955303986867,23.24450917013796,0.9652495747347266,0.5167619047619048
temporal_self_cross_attention,griffin_lim,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,500,masked_input,0.4467134677425171,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6486428571428571
temporal_self_cross_attention,griffin_lim,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,500,fused,0.35414650016447813,0.8611977406919532,0.0755423042178154,2.906483347415924,3.748351644738515,21.653354223542276,0.9092655979416461,0.5653452380952381
temporal_self_cross_attention,griffin_lim,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,1000,masked_input,0.6289508691356425,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.788
temporal_self_cross_attention,griffin_lim,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,1000,fused,0.34915721768952085,0.7175831560809078,0.12459884822368622,2.0516991469860075,3.353191057332356,19.678696636927967,0.8218778017338256,0.5633809523809524
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,160,masked_input,0.3542447072422177,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5635714285714284
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,160,fused,0.31389856195128224,0.9564062287983157,0.05635107040405273,3.7350547902584075,3.7835953165690106,22.586902197043557,0.9699795726096068,0.524952380952381
