method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,concat,,single_gap,,160,masked_input,0.33739006238626845,0.9331969972711764,0.0515672492980957,3.2601279356479647,3.819705852890014,23.32471364099574,0.931454172177435,0.5487142857142857
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,concat,,single_gap,,160,fused,0.31235319500147374,0.9608300218945486,0.04977873370051384,3.875073389530182,4.073985154247285,23.164028919223686,0.9727391968906086,0.5204285714285715
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,concat,,single_gap,,500,masked_input,0.43488287262105235,0.7977550057388024,0.16444931983947753,2.3856501507759096,3.8987895636876417,18.112940298156943,0.7871139012845719,0.6399285714285714
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,concat,,single_gap,,500,fused,0.3363993935956714,0.8690020233934496,0.07559495627880096,3.0069479439258577,3.7804967937787373,21.664020303642143,0.9192246486891718,0.5464880952380953
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,concat,,single_gap,,1000,masked_input,0.6116890692566385,0.5826747095373925,0.3469975554943085,1.6877505447864531,3.7538001533190415,14.763455831926619,0.5644752189691878,0.7740952380952381
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,concat,,single_gap,,1000,fused,0.34180696836453794,0.7296155278270774,0.12144156634807586,2.114199119091034,3.311345643329621,19.7869616082677,0.8347513389963365,0.5549047619047619
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,temporal_self_cross_attention,,single_gap,,160,masked_input,0.3363994017264773,0.9331969972711763,0.05156724810600281,3.2601279356479647,3.819051917521159,23.324713640995743,0.931454172177435,0.5480952380952381
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,temporal_self_cross_attention,,single_gap,,160,fused,0.30949076688597216,0.9615213757974145,0.04869746565818787,3.889201241970062,4.0753815410614,23.244502836178196,0.9731314917871792,0.5218571428571429
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,temporal_self_cross_attention,,single_gap,,500,masked_input,0.45284249859089565,0.7977373866412361,0.16444931983947753,2.3856501507759096,3.8981117631594344,18.112940298156943,0.787113901284572,0.6493571428571427
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,temporal_self_cross_attention,,single_gap,,500,fused,0.34796936631659015,0.8677585005663366,0.0755421343445778,3.004853127002716,3.7496078789711005,21.653352908151884,0.9181339669081287,0.5592023809523808
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,temporal_self_cross_attention,,single_gap,,1000,masked_input,0.6160862640998042,0.5826970069445789,0.34699755907058716,1.6877505447864531,3.752004713853201,14.763455831926619,0.5644752189691878,0.7721904761904763
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,temporal_self_cross_attention,,single_gap,,1000,fused,0.3542411230118831,0.7268576752106926,0.1246004033088684,2.1011462900638582,3.295075190734864,19.678647536452257,0.8325282568336005,0.57
global_local_affinity,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,global_local_affinity,,single_gap,,160,masked_input,0.34233610265839565,0.9331969972711763,0.05156724810600281,3.2601279356479647,3.819051917521159,23.324713640995743,0.931454172177435,0.5511428571428572
global_local_affinity,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,global_local_affinity,,single_gap,,160,fused,0.3123146104055766,0.9584698212522224,0.06336605578660964,3.848344000816345,4.048419254652659,22.083187895728685,0.9715338775299311,0.5216190476190475
global_local_affinity,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,global_local_affinity,,single_gap,,500,masked_input,0.44412800897825394,0.7977373866412361,0.16444931983947753,2.3856501507759096,3.8981117631594344,18.112940298156943,0.787113901284572,0.6449285714285713
global_local_affinity,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_tf_v1,global_local_affinity,,single_gap,,500,fused,0.33359783758891837,0.8679706635339914,0.08788645714521408,2.9913746480941774,3.6974771703720095,20.94371009151611,0.9196629732974315,0.5493928571428572
