dataset,batch_idx,sample_in_batch,video_path,gap_ms,method,retention_fraction,retention_percent,gap_start_mel,gap_end_mel,gap_start_sec,gap_end_sec,kept_frames_in_reduced_region,reduced_region_frames,effective_total_unique_frames,local_start_video_frame,local_end_video_frame,pesq,stoi
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,uniform,0.25,25.0,278,294,2.78,2.94,19,75,19,-1,-1,4.117559432983398,0.9247176027050472
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,uniform,0.5,50.0,278,294,2.78,2.94,38,75,38,-1,-1,4.048335075378418,0.9245785227016653
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,uniform,0.75,75.0,278,294,2.78,2.94,56,75,56,-1,-1,4.106184005737305,0.9245508020526644
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,local,0.25,25.0,278,294,2.78,2.94,4,14,65,61,74,4.094257831573486,0.9246231974282177
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,local,0.5,50.0,278,294,2.78,2.94,7,14,68,61,74,4.373342990875244,0.943562134983132
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,local,0.75,75.0,278,294,2.78,2.94,10,14,71,61,74,4.105116367340088,0.9245299735875532
grid,0,0,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/brbd3a.mpg,160,full,1.0,100.0,278,294,2.78,2.94,75,75,75,-1,-1,4.4006500244140625,0.9456198282132227
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,uniform,0.25,25.0,213,229,2.13,2.29,19,75,19,-1,-1,4.21915340423584,0.9155586018159392
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,uniform,0.5,50.0,213,229,2.13,2.29,38,75,38,-1,-1,4.205193519592285,0.918099640642512
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,uniform,0.75,75.0,213,229,2.13,2.29,56,75,56,-1,-1,4.280967712402344,0.9316917185208486
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,local,0.25,25.0,213,229,2.13,2.29,5,21,59,45,65,4.297710418701172,0.9306103675318
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,local,0.5,50.0,213,229,2.13,2.29,10,21,64,45,65,4.405938625335693,0.976410991127325
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,local,0.75,75.0,213,229,2.13,2.29,16,21,70,45,65,4.308059215545654,0.9249733378134107
grid,0,1,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/lrbh8n.mpg,160,full,1.0,100.0,213,229,2.13,2.29,75,75,75,-1,-1,4.412567138671875,0.9422913013101218
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,uniform,0.25,25.0,221,237,2.21,2.37,19,75,19,-1,-1,3.8442280292510986,0.8563632771980619
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,uniform,0.5,50.0,221,237,2.21,2.37,38,75,38,-1,-1,3.880544424057007,0.8541098663440357
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,uniform,0.75,75.0,221,237,2.21,2.37,56,75,56,-1,-1,4.2705206871032715,0.8868860314085062
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,local,0.25,25.0,221,237,2.21,2.37,5,21,59,47,67,4.3376970291137695,0.9258193644336535
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,local,0.5,50.0,221,237,2.21,2.37,10,21,64,47,67,4.319467544555664,0.9069061023841241
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,local,0.75,75.0,221,237,2.21,2.37,16,21,70,47,67,3.9191489219665527,0.8630754487119703
grid,0,2,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srak9a.mpg,160,full,1.0,100.0,221,237,2.21,2.37,75,75,75,-1,-1,4.262639045715332,0.8932646608418734
grid,0,3,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srbl3a.mpg,160,uniform,0.25,25.0,190,206,1.9,2.06,19,75,19,-1,-1,4.337519645690918,0.9783971550392907
grid,0,3,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srbl3a.mpg,160,uniform,0.5,50.0,190,206,1.9,2.06,38,75,38,-1,-1,4.357107639312744,0.9857085729970401
grid,0,3,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srbl3a.mpg,160,uniform,0.75,75.0,190,206,1.9,2.06,56,75,56,-1,-1,4.39418363571167,0.9797715972060672
grid,0,3,/home/nabizadz/Projects/Mahsa/datasets/grid/test/s33/srbl3a.mpg,160,local,0.25,25.0,190,206,1.9,2.06,5,21,59,39,59,4.343551158905029,0.9838078084845406
