dataset,gap_ms,method,retention_fraction,retention_percent,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,kept_frames_mean,reduced_region_frames_mean,effective_total_unique_frames_mean
grid,160,uniform,0.25,25.0,3.778898577541113,0.5482328651466094,0.016996868778549317,0.9661388144981825,0.030678490855638837,0.0009511255463639062,4000,4000,19.0,75.0,19.0
grid,160,uniform,0.5,50.0,3.7942360067367553,0.5446271710822359,0.01688508141087416,0.9669048270610762,0.030903021203403807,0.0009580866628900792,4000,4000,38.0,75.0,38.0
grid,160,uniform,0.75,75.0,3.7981063378751276,0.5402176675693073,0.01674837353115273,0.9672917756418993,0.030296104154791975,0.0009392704078084707,4000,4000,56.0,75.0,56.0
grid,160,local,0.25,25.0,3.7771126546263694,0.5440614925991609,0.01686754367543558,0.9658429681745965,0.031073286094641578,0.0009633653869468512,4000,4000,4.8055,19.811,59.9945
grid,160,local,0.5,50.0,3.779409598171711,0.5529365563922636,0.017142697363371238,0.9662188508519356,0.03107125016836611,0.0009633022671049976,4000,4000,9.60175,19.811,64.79075
grid,160,local,0.75,75.0,3.792678401470184,0.5391371149461063,0.016714873147807497,0.9669502532515581,0.030832558004117147,0.0009559020916464857,4000,4000,15.0055,19.811,70.1945
grid,160,uniform,1.0,100.0,3.8012262816429137,0.5387012465344387,0.01670135991525832,0.9677404321564392,0.030392864625609434,0.0009422702736136612,4000,4000,75.0,75.0,75.0
grid,160,local,1.0,100.0,3.8012262816429137,0.5387012465344387,0.01670135991525832,0.9677404321564392,0.030392864625609434,0.0009422702736136612,4000,4000,19.811,19.811,75.0
grid,500,uniform,0.25,25.0,2.8728988465964793,0.8150381528915772,0.02526863567455909,0.8990805752332143,0.047809651154355925,0.0014822430734820979,4000,4000,19.0,75.0,19.0
grid,500,uniform,0.5,50.0,2.951749515026808,0.7709157357864901,0.023900707953686255,0.9098138446515728,0.046044220094354084,0.0014275093973891806,4000,4000,38.0,75.0,38.0
grid,500,uniform,0.75,75.0,2.9541871407926084,0.772796649391358,0.023959021936225733,0.9116228805247872,0.045980814547044065,0.0014255436345975384,4000,4000,56.0,75.0,56.0
grid,500,local,0.25,25.0,2.8645629842877387,0.8190520754049411,0.025393079352755334,0.8971408423669032,0.04732387520013576,0.0014671825569122878,4000,4000,7.03475,28.1205,53.91425
grid,500,local,0.5,50.0,2.932503129273653,0.7780065604579168,0.024120544859012442,0.9063723927389273,0.04601422679811272,0.0014265795149380172,4000,4000,13.82,28.1205,60.6995
grid,500,local,0.75,75.0,2.951714156925678,0.771339995519605,0.023913861282262878,0.9106414579600273,0.04605311050946914,0.0014277850270142977,4000,4000,21.08575,28.1205,67.96525
grid,500,uniform,1.0,100.0,2.9735333420336247,0.7638685040843308,0.023682222561604547,0.9145514775387951,0.046058021829117404,0.001427937292704478,4000,4000,75.0,75.0,75.0
grid,500,local,1.0,100.0,2.9735333420336247,0.7638685040843308,0.023682222561604547,0.9145514775387951,0.046058021829117404,0.001427937292704478,4000,4000,28.1205,28.1205,75.0
grid,1000,uniform,0.25,25.0,1.9534166769981385,0.7224494506343095,0.02239810725006906,0.7827344246107156,0.0663857806622688,0.0020581589948577674,4000,4000,19.0,75.0,19.0
grid,1000,uniform,0.5,50.0,2.054947132021189,0.6995812465585468,0.021689124099682985,0.8188010198105699,0.06637348850059978,0.002057777900851597,4000,4000,38.0,75.0,38.0
grid,1000,uniform,0.75,75.0,2.060847367912531,0.6975418642617828,0.02162589711076811,0.8231434154530051,0.06687184733654579,0.0020732285246242883,4000,4000,56.0,75.0,56.0
grid,1000,local,0.25,25.0,1.9493298465907574,0.7223277477043599,0.02239433409296407,0.7798784015744804,0.06599053865406497,0.0020459053030849944,4000,4000,9.79975,40.45475,44.345
grid,1000,local,0.5,50.0,2.034558733165264,0.6950775864120597,0.021549497080947885,0.8112596819472724,0.06576180229636377,0.0020388137875924114,4000,4000,20.1735,40.45475,54.71875
grid,1000,local,0.75,75.0,2.0605775579214094,0.6927946776498636,0.02147872003868853,0.8225559386620355,0.06668707397439026,0.0020674999943044417,4000,4000,30.655,40.45475,65.20025
grid,1000,uniform,1.0,100.0,2.090394504547119,0.6917230789220243,0.021445497253047122,0.8314508689726754,0.06782142785802978,0.00210266837864328,4000,4000,75.0,75.0,75.0
grid,1000,local,1.0,100.0,2.090394504547119,0.6917230789220243,0.021445497253047122,0.8314508689726754,0.06782142785802978,0.00210266837864328,4000,4000,40.45475,40.45475,75.0
