dataset,batch_idx,sample_in_batch,video_path,gap_ms,method,retention_fraction,retention_percent,gap_start_mel,gap_end_mel,gap_start_sec,gap_end_sec,kept_frames_in_reduced_region,reduced_region_frames,effective_total_unique_frames,local_start_video_frame,local_end_video_frame,pesq,stoi
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,uniform,0.25,25.0,74,90,0.74,0.9,19,75,19,-1,-1,3.0531041622161865,0.949489881014934
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,uniform,0.5,50.0,74,90,0.74,0.9,38,75,38,-1,-1,3.3218894004821777,0.9561509513212939
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,uniform,0.75,75.0,74,90,0.74,0.9,56,75,56,-1,-1,3.4529964923858643,0.9511010385627889
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,local,0.25,25.0,74,90,0.74,0.9,5,21,59,10,30,2.869927406311035,0.9477769155012511
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,local,0.5,50.0,74,90,0.74,0.9,10,21,64,10,30,3.5703978538513184,0.9527174234539926
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,local,0.75,75.0,74,90,0.74,0.9,16,21,70,10,30,3.671488046646118,0.9493354269852485
lrs2,0,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00011.mp4,160,full,1.0,100.0,74,90,0.74,0.9,75,75,75,-1,-1,3.4328033924102783,0.9601377223425301
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,uniform,0.25,25.0,162,178,1.62,1.78,19,75,19,-1,-1,4.643888473510742,0.9999999999999998
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,uniform,0.5,50.0,162,178,1.62,1.78,38,75,38,-1,-1,4.643888473510742,0.9999999999999998
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,uniform,0.75,75.0,162,178,1.62,1.78,56,75,56,-1,-1,4.643888473510742,0.9999999999999998
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,local,0.25,25.0,162,178,1.62,1.78,5,21,59,32,52,4.643888473510742,0.9999999999999998
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,local,0.5,50.0,162,178,1.62,1.78,10,21,64,32,52,4.643888473510742,0.9999999999999998
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,local,0.75,75.0,162,178,1.62,1.78,16,21,70,32,52,4.643888473510742,0.9999999999999998
lrs2,0,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6330311066473698535/00018.mp4,160,full,1.0,100.0,162,178,1.62,1.78,75,75,75,-1,-1,4.643888473510742,0.9999999999999998
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,uniform,0.25,25.0,49,65,0.49,0.65,19,75,19,-1,-1,2.5641415119171143,0.8810933027557967
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,uniform,0.5,50.0,49,65,0.49,0.65,38,75,38,-1,-1,2.439990997314453,0.9180377822202184
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,uniform,0.75,75.0,49,65,0.49,0.65,56,75,56,-1,-1,2.670917510986328,0.9222330301676043
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,local,0.25,25.0,49,65,0.49,0.65,5,21,59,4,24,2.539097309112549,0.9268201420458431
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,local,0.5,50.0,49,65,0.49,0.65,10,21,64,4,24,2.2558486461639404,0.8961940269590355
