method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
oracle,160,E_minus_D,true-STFT magnitude gain over inverse-Mel GT magnitude,-0.0003161035584162142,0.008172694879442721,0.0,0.18135114860534696,0.029300193373360983,,0.01042035023471366,-0.0006666666666667043
oracle,500,E_minus_D,true-STFT magnitude gain over inverse-Mel GT magnitude,-0.0004857705981620164,0.012556679758892741,0.0,0.24871137142181432,0.032668325773874685,,0.012885780150970416,0.00019047619047618536
oracle,1000,E_minus_D,true-STFT magnitude gain over inverse-Mel GT magnitude,-0.010940626979772494,0.014159881161195154,0.0,0.2928264365196229,0.03799802897771176,,0.011379506132605521,-0.006952380952381043
concat,160,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.00192789708708746,0.0015471449515310765,0.0,0.021397589921951177,-0.1533580045700078,0.0,0.00431500482135283,0.0004761904761904079
concat,160,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,-0.0018136234779713156,0.013957311232743574,0.0,0.2990370779037477,0.13931275199254323,0.0,0.011109893047259733,-0.00271428571428578
concat,160,C_minus_B,remaining phase-prediction headroom,-0.0037415205650587757,0.012410166281212498,0.0,0.2776394879817965,0.29267075656255104,0.0,0.006794888225906903,-0.003190476190476188
concat,160,D_minus_C,GT-Mel gain with GT phase,-0.010723591402628185,0.021885797355879033,-0.007644632585346698,0.43517359232902475,0.07642877031962136,,0.012115118799380431,-0.010809523809523602
concat,500,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.009310263577467837,0.004383386952068191,0.0,-0.017787425756454756,-0.3938393122037267,0.0,0.006975790406092308,0.005535714285714088
concat,500,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,-0.001875667966278527,0.039311651037213236,0.0,0.36794647192955,0.1419179449081418,0.0,0.022524207889294656,-0.0011785714285714732
concat,500,C_minus_B,remaining phase-prediction headroom,-0.011185931543746364,0.034928264085145044,0.0,0.38573389768600475,0.5357572571118685,0.0,0.015548417483202348,-0.006714285714285562
concat,500,D_minus_C,GT-Mel gain with GT phase,-0.03708294670947487,0.08651129075695096,-0.038835119187831876,1.1448154950141904,0.42329893509546945,,0.053597026866263886,-0.041202380952381046
concat,1000,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.010919777713679468,0.009320177666308327,0.0,-0.019847619056701404,-0.3615189177831013,0.0,0.011626308515726769,0.007047619047619302
concat,1000,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,0.004164714046586471,0.07517909502001252,0.0,0.348091784477234,0.12797021716435708,0.0,0.04064108172482794,-0.005761904761904635
concat,1000,C_minus_B,remaining phase-prediction headroom,-0.0067550636670929975,0.0658589173537042,0.0,0.3679394035339354,0.4894891349474584,0.0,0.029014773209101175,-0.012809523809523937
concat,1000,D_minus_C,GT-Mel gain with GT phase,-0.0444792124352803,0.1923619496463479,-0.09247389495372772,1.9614168736934663,0.9293051155408234,,0.12444282032496667,-0.0540476190476189
temporal_self_cross_attention,160,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.00023100534536807382,0.0009343056524326876,0.0,0.007251908063888646,-0.1757838307380677,0.0,0.003907618160822857,0.0012857142857144455
temporal_self_cross_attention,160,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,0.0026742153498675036,0.013973150699563508,0.0,0.28816755795478777,0.13490738242467293,0.0,0.011029461979157662,0.0017619047619047423
temporal_self_cross_attention,160,C_minus_B,remaining phase-prediction headroom,0.00244321000449943,0.01303884504713082,0.0,0.2809156498908991,0.3106912131627406,0.0,0.007121843818334805,0.00047619047619029686
temporal_self_cross_attention,160,D_minus_C,GT-Mel gain with GT phase,-0.018985061044097862,0.022381405033982005,-0.007760635562241078,0.44653621101379404,0.07453811070124416,,0.01247762589354151,-0.016761904761904534
temporal_self_cross_attention,500,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.0073199317573264255,0.0016097704475420693,0.0,-0.028257010221481416,-0.4297372216383608,0.0,0.005470936310403296,0.005142857142857116
temporal_self_cross_attention,500,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,-0.003472215929728628,0.039034269964458024,0.0,0.37216339015960687,0.13119363902409864,0.0,0.022230927361802766,-0.00047619047619062993
temporal_self_cross_attention,500,C_minus_B,remaining phase-prediction headroom,-0.010792147687055054,0.037424499516915954,0.0,0.4004204003810883,0.5609308606624595,0.0,0.01675999105139947,-0.005619047619047746
temporal_self_cross_attention,500,D_minus_C,GT-Mel gain with GT phase,-0.04103012207214435,0.08702244516775781,-0.03909549525380135,1.156361714363098,0.41006473293304513,,0.0541341585030769,-0.048630952380952275
temporal_self_cross_attention,1000,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.0004347613658572391,0.004895590262968708,0.0,-0.02978931498527526,-0.4223312132994339,0.0,0.009108276164834228,-0.003571428571428781
temporal_self_cross_attention,1000,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,-0.008201190148058257,0.07521429008422775,0.0,0.3409257252216338,0.10897528007825219,0.0,0.040148499864089304,-0.010428571428571565
temporal_self_cross_attention,1000,C_minus_B,remaining phase-prediction headroom,-0.008635951513915496,0.07031869982125905,0.0,0.37071504020690904,0.5313064933776861,0.0,0.031040223699255076,-0.006857142857142784
temporal_self_cross_attention,1000,D_minus_C,GT-Mel gain with GT phase,-0.04748408543937266,0.19407967206614885,-0.09403630286455154,1.980472021341324,0.9067019007364916,,0.12552316033866417,-0.05914285714285705
global_local_affinity,160,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,7.733904609463771e-05,0.0016482320219058932,0.0,0.040871621131896685,-0.17586512018839473,0.0,0.004024022289119689,0.00023809523809525945
global_local_affinity,160,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,-0.002336911208620285,0.014205708091870606,0.0,0.28247106790542587,0.1334779932975776,0.0,0.010483670306556614,-0.005857142857142783
