method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,roundtrip_max_abs_error,roundtrip_rmse,roundtrip_snr_db,stoi,stored_phase_circular_mae_rad,wer
oracle,160,D_GT_MEL_GT_PHASE,,0.2975513707446045,0.991827305119781,0.0,4.462536750793457,4.169180847644807,,,,,0.9895796497647663,,0.5077142857142858
oracle,160,E_TRUE_STFT_GT_PHASE,,0.2972352671861883,0.9999999999992237,0.0,4.643887899398804,4.198481041018168,,8.344650268554688e-07,4.344168456782427e-08,128.8315598449707,0.99999999999948,1.7074273700927732e-05,0.5070476190476191
oracle,500,D_GT_MEL_GT_PHASE,,0.2995120099604612,0.9874433202388407,0.0,4.3951758890151975,4.165711113389333,,,,,0.9871142198476389,,0.5084761904761904
oracle,500,E_TRUE_STFT_GT_PHASE,,0.29902623936229916,0.9999999999977335,0.0,4.643887260437012,4.198379439163208,,8.344650268554688e-07,4.344168456782427e-08,128.8315598449707,0.9999999999986093,1.7074273700927732e-05,0.5086666666666666
oracle,1000,D_GT_MEL_GT_PHASE,,0.30842210760644334,0.9858401188370554,0.0,4.351060639858246,4.160378539371491,,,,,0.9886204938663969,,0.5146666666666667
oracle,1000,E_TRUE_STFT_GT_PHASE,,0.29748148062667085,0.9999999999982505,0.0,4.643887076377869,4.198376568349203,,8.344650268554688e-07,4.344168456782427e-08,128.8315598449707,0.9999999999990025,1.7074273700927732e-05,0.5077142857142857
concat,160,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3075189467217119,0.9558548212383374,0.0497796003818512,3.7528405442237855,4.006326628907521,23.1639288670348,,,,0.9653847890301324,,0.5156190476190475
concat,500,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.32761422572090076,0.8624348882491262,0.07559630697965622,2.9222418529987335,3.7659225310007725,21.663926978810743,,,,0.9103920730964529,,0.5379166666666667
concat,1000,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3497480722132131,0.7209883377408924,0.12144122219085693,2.0742600524425505,3.3736951485474904,19.786939184146078,,,,0.8245497654652312,,0.5664761904761905
concat,160,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.310088585625204,0.9559841965311584,0.007644632585346698,3.7283260805606844,3.953439325332642,33.6685005557643,,,,0.9663546379181261,,0.5212380952380952
concat,160,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3120164827122915,0.9575313414826895,0.007644632585346698,3.7497236704826356,3.8000813207626343,33.6685005557643,,,,0.970669642739479,,0.5217142857142856
concat,160,C_PHASE_MODEL_MEL_GT_PHASE,,0.3082749621472327,0.969941507763902,0.007644632585346698,4.027363158464432,4.092752077325185,33.6685005557643,,,,0.9774645309653859,,0.5185238095238094
concat,500,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.3384706246362146,0.8616203784446765,0.038835119187831876,2.882413922071457,3.600494233385722,26.09558680563006,,,,0.9109929850920804,,0.5508571428571429
concat,500,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3477808882136824,0.8660037653967447,0.038835119187831876,2.8646264963150023,3.2066549211819955,26.09558680563006,,,,0.9179687754981727,,0.556392857142857
concat,500,C_PHASE_MODEL_MEL_GT_PHASE,,0.33659495666993605,0.9009320294818898,0.038835119187831876,3.250360394001007,3.742412178293864,26.09558680563006,,,,0.933517192981375,,0.5496785714285715
concat,1000,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.34873660599513717,0.7182990741706949,0.09247389495372772,2.0415519816875456,3.1031032066663107,21.63219136535606,,,,0.8235365918166023,,0.5744761904761903
concat,1000,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.35965638370881664,0.7276192518370033,0.09247389495372772,2.021704362630844,2.7415842888832094,21.63219136535606,,,,0.8351629003323291,,0.5815238095238096
concat,1000,C_PHASE_MODEL_MEL_GT_PHASE,,0.35290132004172364,0.7934781691907075,0.09247389495372772,2.3896437661647796,3.2310734238306678,21.63219136535606,,,,0.8641776735414303,,0.5687142857142856
temporal_self_cross_attention,160,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3117466736262416,0.9560569323430662,0.048698867082595826,3.7639041113853455,3.997833052126566,23.244349151283668,,,,0.9652378006454886,,0.5164761904761904
temporal_self_cross_attention,500,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3333214169322981,0.8610781826925509,0.07554359173774719,2.905948912143707,3.748744072151183,21.65322376136956,,,,0.9091768504249198,,0.5483928571428572
temporal_self_cross_attention,1000,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3440571588810962,0.7176087500226627,0.12460053277015685,2.0512295820713042,3.3518213703314466,19.678588282468606,,,,0.8219206521894328,,0.5637619047619047
temporal_self_cross_attention,160,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.3138622164388349,0.9554727493862355,0.007760635562241078,3.727832981824875,3.9597353545188896,33.61864159334934,,,,0.9660725618920671,,0.5227142857142856
temporal_self_cross_attention,160,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.31409322178420296,0.9564070550386682,0.007760635562241078,3.7350848898887636,3.783951523780822,33.61864159334934,,,,0.96998018005289,,0.524
temporal_self_cross_attention,160,C_PHASE_MODEL_MEL_GT_PHASE,,0.3165364317887024,0.969445900085799,0.007760635562241078,4.016000539779663,4.0946427369435625,33.61864159334934,,,,0.9771020238712248,,0.5244761904761903
temporal_self_cross_attention,500,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.34401434796233415,0.8613866051066249,0.03909549525380135,2.8666507844924927,3.6244527414321897,26.095341711964362,,,,0.9107491339827593,,0.5575833333333333
temporal_self_cross_attention,500,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3513342797196606,0.862996375554167,0.03909549525380135,2.8383937742710112,3.194715519793829,26.095341711964362,,,,0.9162200702931625,,0.5627261904761904
