method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,160,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,0.002847789991534455,0.014626581227007884,0.0,0.29745078325271557,0.11937703526814802,0.0,0.01224609020945766,0.00023809523809514843
concat,160,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,0.0018640248333764986,0.014049022660559407,-0.04176679414510727,0.2921783862113947,0.10656909475326604,10.444952732736464,0.011724838198423626,-4.7619047619074095e-05
concat,160,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,0.0011080094078557146,-3.766386500514418e-05,0.000368173651397229,0.01765577197074819,0.02014364633560195,-0.05961895599303091,-0.0003549037368298924,-0.0029523809523809286
concat,160,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.0118316008104839,0.021923461220884177,-0.008012806236743927,0.41751782035827656,0.056285123984019414,,0.012470022536210323,-0.007857142857142674
concat,500,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,-0.0036021607325966154,0.038870768504509434,0.0,0.3797406728267667,0.10595929752985711,0.0,0.023709369674197234,0.00033333333333340764
concat,500,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,-0.0016551649428347415,0.0387003620867451,-0.03593626606464386,0.36942775893211355,0.09894790900548411,4.415095813785843,0.02322532217429263,0.0010000000000000009
concat,500,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.010635895891870029,0.00020322085398150058,0.0008249217271804818,0.04130921792983999,0.1224582617123926,-0.016564013033473657,0.00010020228937046571,-0.01076190476190475
concat,500,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.026447050817604845,0.08630806990296946,-0.03966004091501236,1.1035062770843505,0.30084067338307685,,0.05349682457689342,-0.030440476190476295
concat,1000,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,-0.004026039987214236,0.07243134407061913,0.0,0.3705903897285463,0.09442012899716667,0.0,0.04046727394452898,-0.001095238095238038
concat,1000,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,-0.011100606773425337,0.07203912494495868,-0.026821495294570924,0.3662401831150057,0.08151854664484581,1.7937269604556718,0.03979205407916209,-0.010666666666666602
