method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,160,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.30653518156355397,0.955277262671889,0.008012806236743927,3.7475681471824647,3.9935186883926392,33.608881599771266,0.9648635370190983,0.5153333333333333
concat,160,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.3093829715550884,0.9699038438988968,0.008012806236743927,4.04501893043518,4.112895723660787,33.608881599771266,0.977109627228556,0.5155714285714285
concat,500,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.32956122151066264,0.8622644818313618,0.03966004091501236,2.9119289391040803,3.7589111424763995,26.079022792596586,0.9099080255965483,0.5385833333333333
concat,500,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.325959060778066,0.9011352503358713,0.03966004091501236,3.291669611930847,3.8648704400062566,26.079022792596586,0.9336173952707455,0.5389166666666667
concat,1000,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.342673505427002,0.720596118615232,0.094619726896286,2.06990984582901,3.3607935661951696,21.58066614460175,0.8238745455998643,0.5569047619047619
concat,1000,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.33864746543978774,0.7930274626858511,0.094619726896286,2.4405002355575562,3.4552136951923362,21.58066614460175,0.8643418195443933,0.5558095238095239
temporal_self_cross_attention,160,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.30722774604832237,0.9558031968013271,0.00789368437975645,3.7565460362434386,3.9927794824918115,33.61189417256754,0.965436302975515,0.5152857142857141
temporal_self_cross_attention,160,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.3076013442612871,0.9701386443850101,0.00789368437975645,4.044078370571136,4.11006110871633,33.61189417256754,0.9772795298977933,0.5140476190476189
temporal_self_cross_attention,500,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.33527763851667186,0.8606774524833902,0.04051376807689667,2.8940194034576416,3.7414352776527404,25.983183551297152,0.9087655846712099,0.5466309523809524
temporal_self_cross_attention,500,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.3360419162194932,0.8999676695663281,0.04051376807689667,3.2727584068775175,3.842470957533519,25.983183551297152,0.9324661496660462,0.5484404761904762
temporal_self_cross_attention,1000,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.346761612589418,0.7172476176416679,0.098369371175766,2.0521797714233396,3.3408594266732536,21.41475602828274,0.8211057662326721,0.5634285714285714
temporal_self_cross_attention,1000,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.34608061072237906,0.7899443403212542,0.098369371175766,2.402162697315216,3.432848897012074,21.41475602828274,0.861759871932088,0.5602380952380951
global_local_affinity,160,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.31418424856740357,0.9525823797445235,0.008910509392619132,3.7232688245773313,3.969897348022461,33.29102676321725,0.9636367472303645,0.5194761904761905
global_local_affinity,160,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.310113844514657,0.9675624546443673,0.008910509392619132,4.0001469278335575,4.085524003918965,33.29102676321725,0.9757909435317724,0.5162857142857143
global_local_affinity,500,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.33457625194650803,0.8606018798561066,0.041109708189964296,2.8807538537979127,3.678665860303242,26.038855586554003,0.9102020881760398,0.5467261904761905
global_local_affinity,500,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.3334473750687631,0.9007572891753759,0.041109708189964296,3.2802618377208708,3.7974595669428513,26.038855586554003,0.934067383448824,0.5461547619047621
global_local_affinity,1000,A0_NO_PHASE_COMPLETED_MEL_GRIFFIN_LIM,,0.3658701048395656,0.7184725930526177,0.09432517462968826,2.036596478462219,3.214431946945191,21.60431088700653,0.8240928889338192,0.5843333333333334
global_local_affinity,1000,F_NO_PHASE_COMPLETED_MEL_GT_PHASE,,0.36635200217442465,0.7941247736907875,0.09432517462968826,2.4263525052070616,3.316203841114045,21.60431088700653,0.8656396785840629,0.5794761904761905
