method,gap_ms,error_type,depth_bin,depth_low,depth_high,depth_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
concat,160,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,40.92079139770152,0.7142025424116639,0.3506872898475267,512000,147860.0775948903,0.4404663339581189,0.18960095140479713
concat,160,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,40.8043175617198,0.7121696904813549,0.3490682181955005,384000,112033.14974426026,0.4402400412239202,0.19049362822121277
concat,160,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,40.95162389740677,0.7147406710481407,0.35070153247487423,384000,110017.49795942595,0.4393360337962327,0.18868438126444176
concat,160,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,40.97398533135636,0.7151309516960282,0.3510307250083424,256000,73584.37067312996,0.4493837478970569,0.1951522935147199
concat,160,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,40.80227806860989,0.7121340946115153,0.34931738299143034,512000,149871.89537847362,0.4420217874884172,0.19101777665475603
concat,160,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.71233630623112,1.5657756482001808,0.9963672739328383,513486,149747.4887710508,1.538613263436193,0.9797069016949495
concat,160,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.21918947366902,1.5571686122761912,0.9899930752111085,514000,149894.69034257354,1.4987295492714032,0.9507310698108467
concat,160,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.18366426539463,1.556548580424346,0.9898680842697388,257000,75484.36568955201,1.50822113987139,0.9572808789329296
concat,160,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.49720531494637,1.5620209040791828,0.9939819613507286,514000,150751.35293670034,1.5189821868406979,0.9657426196862544
concat,160,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.62710124106508,1.5642880156748815,0.9954319162311567,385500,114362.94054256051,1.5134715505823477,0.9631042247325768
concat,160,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,90.25243459855751,1.5752021416856754,1.0035356283476613,514000,150363.1728795281,1.565538996294247,0.9971613319522336
concat,160,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.9373996224475,1.5697037440936137,0.9993583180977058,385500,113871.78452069784,1.5445507080158398,0.9803754189343945
concat,160,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,90.02053688638932,1.571154763080498,1.0005233464619838,385500,111884.01281653202,1.575142907278016,1.0019037430469757
concat,160,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,90.00447184406099,1.5708743751973966,0.9999806522752525,257000,74843.93926632738,1.5914888913462706,1.0163033244926019
concat,160,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.88869526021114,1.5688536926125056,0.9988132528560635,514000,152296.01320255361,1.559662865419323,0.9919601800426598
