method,gap_ms,error_type,position_bin,position_low,position_high,position_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
concat,160,frequency,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.27455223192927,0.7203768337335399,0.3545858295778744,256000,72162.8403188179,0.4487735922887076,0.19406181245760892
concat,160,frequency,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.07935508757402,0.7169700008740503,0.3521356009566225,128000,35573.995484339204,0.4536969412958416,0.19782476578802308
concat,160,frequency,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.947118459554645,0.7146620363233772,0.3506555988732725,256000,71011.79077211198,0.4402514530781919,0.18843788121428218
concat,160,frequency,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.87511975106648,0.713405421803075,0.349831240192987,128000,35910.704459238994,0.4495057276304624,0.19376057725969342
concat,160,frequency,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.02185103079982,0.7159663657500868,0.3518400519567076,256000,74712.935155133,0.44575931188337037,0.19229459534818757
concat,160,frequency,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.58270510641997,0.7083018234729443,0.3467947140261531,256000,75158.96022334062,0.4383064431444949,0.1897485351436477
concat,160,frequency,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.072850911646235,0.7168564815889813,0.3522302098236978,128000,37673.666213890974,0.4492674762782694,0.19647888357478016
concat,160,frequency,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.96063477311099,0.7148979404976673,0.35079339967807754,128000,39005.70718731397,0.43766946838294357,0.18913314661827005
concat,160,frequency,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.66679879879268,0.7097695352850072,0.34753452681493946,256000,76459.15425992104,0.43397897664603646,0.1870826847282963
concat,160,frequency,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.56703056347378,0.708028251089788,0.346788750117179,256000,75697.23727607235,0.4325469517194897,0.1853483734320442
concat,160,temporal,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.91022475639217,1.56922945320716,0.9991067974566651,256486,73594.16463273432,1.5358350817120956,0.9788696374475154
concat,160,temporal,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.19549104896011,1.5567549967374845,0.9896509035264471,257000,72471.7904182302,1.4925855612921357,0.9465785406043199
concat,160,temporal,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.05265334148652,1.5542620084460699,0.9880246875439173,128500,36114.82803923047,1.4928690032427074,0.9449511290999211
concat,160,temporal,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.54244669576585,1.5628105151326313,0.9946264972102318,257000,73511.20537810799,1.505561135876432,0.9538653023793249
concat,160,temporal,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.72339811298157,1.5659687131491957,0.9965456314977504,128500,37970.18960222593,1.5062074951696323,0.9568801230941499
concat,160,temporal,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.57895280510681,1.5634476669377242,0.9948750585978597,257000,76392.75094033458,1.5170820706632038,0.966197847051521
