source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,single_gap,,20,masked_input,condition,0.2979347219573648,,0.9902993672998753,0.006313401348888874,4.147295276224614,4.111956106535594,32.674753980058114,0.9862170569654602,0.5062390873015874,
evaluate,single_gap,,20,reconstructed,condition,0.29606381920284913,2.2064832621392787,0.9902743642795321,0.006475396603345871,4.17775796687603,4.104096134940783,31.964083913140318,0.9851503194640264,0.504030753968254,0.9994642857142858
evaluate,single_gap,,40,masked_input,condition,0.30042410602769243,,0.9833956765490374,0.01251258261501789,3.777277881652117,4.028050541655222,29.65685839802999,0.9783487318515475,0.5086736111111111,
evaluate,single_gap,,40,reconstructed,condition,0.2992069279580834,2.2064832621392787,0.9868112480650427,0.006950888093560934,4.115803998887539,4.0903754086534185,31.680907667147995,0.9827202479076906,0.5050173611111111,0.9994642857142858
evaluate,single_gap,,80,masked_input,condition,0.30840765342708837,,0.9679197784534851,0.025647906363010408,3.569694505870342,3.9974873339931163,26.487510721348524,0.9630589531573605,0.5192777777777777,
evaluate,single_gap,,80,reconstructed,condition,0.2974545964825383,2.2064832621392787,0.9787028377872542,0.008418095801025628,4.003353114306926,4.04796674195528,30.949174096648154,0.978834895255912,0.5053983134920637,0.9994642857142858
evaluate,single_gap,,160,masked_input,condition,0.335985592457108,,0.9358148839382386,0.05125719651579857,3.29038874822855,3.835704933329423,23.373018417464994,0.9326960302145177,0.5475585317460318,
evaluate,single_gap,,160,reconstructed,condition,0.299142802332922,2.2064832621392787,0.9595802905155454,0.012639300674200058,3.779700604647398,3.9970878557403884,29.476549299530458,0.9684107299445401,0.5075099206349206,0.9994642857142858
evaluate,single_gap,,320,masked_input,condition,0.3903411075068257,,0.8714937564295674,0.10369429767131805,2.8222583679258824,3.8647160534421605,20.182694974246843,0.8648998544613481,0.5989737103174604,
evaluate,single_gap,,320,reconstructed,condition,0.3095670213257339,2.2064832621392787,0.9154488752481725,0.024641201198101044,3.3506657822728156,3.860805594003201,27.081832247024664,0.94302949386473,0.5171676587301587,0.9994642857142858
evaluate,single_gap,,500,masked_input,condition,0.4469189335216045,,0.796754839748055,0.16564131855964662,2.404992395401001,3.8852057972828544,18.068891786817407,0.7857567261468228,0.6494072420634921,
evaluate,single_gap,,500,reconstructed,condition,0.31878601354339514,2.2064832621392787,0.8648616514041941,0.03998486250638962,2.912087208092213,3.71010959285895,25.08659285257931,0.9132485023895448,0.5253249007936508,0.9994642857142858
evaluate,single_gap,,750,masked_input,condition,0.5351459949141575,,0.6901274245336476,0.25575958490371703,1.9742145510017872,3.847234080942472,16.118383197918533,0.6758908259213144,0.7126230158730158,
evaluate,single_gap,,750,reconstructed,condition,0.3320828538725632,2.2064832621392787,0.7925852287402114,0.06404414877295495,2.410279532670975,3.502330251570543,23.016391889614038,0.870959717665351,0.5376185515873015,0.9994642857142858
evaluate,single_gap,,1000,masked_input,condition,0.6155781075906511,,0.5813162438968423,0.3481417584419251,1.6473115219175816,3.7478413371841115,14.738256785333796,0.5609498292858656,0.7692395833333333,
evaluate,single_gap,,1000,reconstructed,condition,0.34614351880502797,2.2064832621392787,0.7177808542896471,0.09110758364200593,2.0033450824618337,3.293823744893074,21.306805028894377,0.8257337219658798,0.5552847222222221,0.9994642857142858
evaluate,single_gap,,1250,masked_input,condition,0.6982908181772577,,0.4758418441328579,0.4347077167034149,1.4448034454882146,3.661297789043188,13.734047131796208,0.4494432190070862,0.8274846230158729,
evaluate,single_gap,,1250,reconstructed,condition,0.35490923357169574,2.2064832621392787,0.6423322035636818,0.11685018628835678,1.715640638768673,3.114442315820853,20.047627069418414,0.7793837024574326,0.5628492063492064,0.9994642857142858
evaluate,single_gap,,1500,masked_input,condition,0.78602068510345,,0.3732185719465441,0.5190058588981629,1.3245280553400516,3.571420886065562,12.937551830588161,0.34166759411941405,0.8932306547619047,
evaluate,single_gap,,1500,reconstructed,condition,0.3668411463888931,2.2064832621392787,0.5645957380440917,0.14371083587408065,1.5097807475328446,2.951096248328686,19.04257174584341,0.7322975839637149,0.5737093253968254,0.9994642857142858
evaluate,single_gap,,,masked_input,mean_over_gap_durations,0.47150477206832003,,0.7666182386928151,0.19226816220209003,2.640276474905014,3.8550914859473706,20.79719672236026,0.7538928821130737,0.6532707837301588,
evaluate,single_gap,,,reconstructed,mean_over_gap_durations,0.32201979334837016,2.2064832621392787,0.8412973291937373,0.051482249945402146,2.9978414676517247,3.6672133888765175,25.965253580984115,0.8979768914878822,0.5293910714285714,0.9994642857142859
