source,mask_type,loss_rate,gap_ms,output,summary,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
evaluate,gilbert,10,,masked_input,condition,0.29184806193878493,0.8897643026486184,0.09967561775464387,2.915380308946015,3.156316965304404,19.268147920226816,0.8884691245710428,0.38324354747138334
evaluate,gilbert,10,,reconstructed,condition,0.26714420410972195,0.9306850469792204,0.09217900479188862,3.4892346297984336,3.1443106045625386,20.81425366656199,0.952108010797244,0.3617271346429462
evaluate,gilbert,20,,masked_input,condition,0.39791218939752687,0.7756467954549537,0.20568453593370317,1.9372714427053304,2.8472055990066036,16.528939114169248,0.7736583044196257,0.49080072928398777
evaluate,gilbert,20,,reconstructed,condition,0.3216477478741951,0.8578664876454484,0.11205488547917214,2.6574726427434676,2.863193789562389,19.470591054401112,0.9016026545264721,0.4378359639159069
evaluate,gilbert,30,,masked_input,condition,0.47192205693151057,0.6720864696889042,0.3001665756325455,1.4616278726814147,2.5479063095112533,14.526627707081882,0.6711733135996595,0.5942890512095381
evaluate,gilbert,30,,reconstructed,condition,0.3734880212302155,0.7914660338273648,0.12967953630135728,2.1190170965491113,2.650338088243357,18.458182124724726,0.8560240371848085,0.5092470286015004
evaluate,gilbert,40,,masked_input,condition,0.5794995401462788,0.5629734407941944,0.40206832276320437,1.2128991424837523,2.2349306616140723,12.938892437677548,0.5630347869861664,0.7116126999842863
evaluate,gilbert,40,,reconstructed,condition,0.4301528929307011,0.7214411644284203,0.14853825032142196,1.7275241633066665,2.4639271410710117,17.587941990834576,0.8067244735078402,0.5855992373792334
evaluate,gilbert,50,,masked_input,condition,0.7092732722147715,0.4571460981518325,0.5029208660894428,1.1113102150710767,1.9397060928499692,11.774339331336547,0.46127891217957484,0.8512512012293059
evaluate,gilbert,50,,reconstructed,condition,0.48727858485262365,0.6519392421744199,0.1684062841675286,1.485541221835363,2.3168787877041663,16.86927249854002,0.7581744822470168,0.6623019108601553
evaluate,gilbert,,,masked_input,mean_over_loss_rates,0.4900910241257746,0.6715234213477006,0.30210318363470795,1.7276977963775177,2.5452131256572605,15.007389302098408,0.6715228883512138,0.6062394458357003
evaluate,gilbert,,,reconstructed,mean_over_loss_rates,0.37594229019949144,0.7906795950109748,0.13017159221227373,2.295757950846608,2.6877296822286927,18.640048267012485,0.8549267316526763,0.5113422550799485
